step_train_loss,epoch,step,val_loss,epoch_train_loss,test_loss
0.10323944687843323,0,49,,,
0.08667702227830887,0,99,,,
0.07765195518732071,0,149,,,
0.07417720556259155,0,199,,,
0.07308290153741837,0,249,,,
0.07048971951007843,0,299,,,
0.06768921762704849,0,349,,,
0.06992582231760025,0,399,,,
0.0679592713713646,0,449,,,
0.07009176909923553,0,499,,,
0.07186906039714813,0,549,,,
0.0666244849562645,0,599,,,
0.06648177653551102,0,649,,,
0.06697588413953781,0,699,,,
,0,749,0.06782252341508865,,
0.0655447393655777,0,749,,,
,0,750,,0.07583491504192352,
,0,750,,,0.11359739303588867
